工程实践,202020212130064000201,1-17周 星期四 第1-2节 南区信工学院N105,"周建华"
工程实践,202020212130064000202,1-17周 星期四 第3-4节 南区信工学院N105,"周建华"
工程实践,202020212130064000203,1-17周 星期五 第9-10节 南区信工学院N105,"吴迪"
工程实践,202020212130064000204,1-17周 星期五 第7-8节 南区信工学院N105,"吴迪"
工程实践,202020212130064000205,1-17周 星期三 第1-2节 南区信工学院N105,"严新民"
工程实践,202020212130064000206,1-17周 星期三 第3-4节 南区信工学院N105,"严新民"
工程实践,202020212130064000207,1-17周 星期二 第9-10节 南区信工学院N105,"严新民"
工程实践,202020212130064000208,1-17周 星期二 第7-8节 南区信工学院N105,"严新民"
临终关怀与丧亲研究进展,202020212030199001101,1-17周 星期一 第3-4节 致理楼L3-314,"唐苏勤"
企业会计学,202020212040222000101,1-17周 星期一 第3-5节 汇文楼H1-405,"杨云"
企业会计学,202020212040222000102,1-17周 星期二 第3-5节 汇文楼H1-205,"杨云"
企业会计学,202020212040222000103,1-17周 星期三 第3-5节 汇文楼H2-205,"杨云"
面向对象程序设计(荣誉),2020202121500220004R01,9-16周 星期四 第11-12节 致理楼L1-202,"张艳"
荷载与结构设计方法,202020212090488000101,1-14周 星期五 第9-10节 致理楼L3-314,"袁方"
荷载与结构设计方法,202020212090488000102,1-14周 星期一 第3-4节 致理楼L3-416,"王卫仑"
荷载与结构设计方法,202020212090488000103,1-14周 星期五 第3-4节 致理楼L3-414,"张小刚"
荷载与结构设计方法,202020212090488000104,1-14周 星期四 第11-12节 致理楼L3-418,"张小刚"
属性数据分析,202020212190327000101,1-17周 星期四 第1-2节 汇文楼H3-104,2-16周(双) 星期四 第3-4节 汇文楼H6-104,"温松桥"
行政法学和行政诉讼法,202020212030167000101,1-17周 星期二 第1-2节 汇文楼H2-202,1-17周 星期四 第1-2节 汇文楼H2-202,"尤乐"
行政法学和行政诉讼法,202020212030167000102,1-17周 星期二 第3-4节 汇文楼H1-101,1-17周 星期四 第3-4节 汇文楼H1-101,"尤乐"
行政法学和行政诉讼法,202020212030167000103,1-17周 星期一 第3-4节 汇文楼H1-103,1-17周 星期三 第3-4节 汇文楼H1-103,"高俊杰"
行政法学和行政诉讼法,202020212030167000104,1-17周 星期一 第7-8节 汇文楼H1-304,1-17周 星期三 第7-8节 汇文楼H1-304,"高俊杰"
行政法学和行政诉讼法,202020212030167000105,1-17周 星期二 第1-2节 汇文楼H2-204,1-17周 星期四 第1-2节 汇文楼H2-204,"李明超"
行政法学和行政诉讼法,202020212030167000106,1-17周 星期二 第3-4节 汇文楼H2-302,1-17周 星期四 第3-4节 汇文楼H2-302,"李明超"
行政法学和行政诉讼法,202020212030167000107,1-17周 星期一 第9-10节 汇文楼H2-302,1-17周 星期三 第9-10节 汇文楼H2-302,"宋明"
Internet网络互连技术,202020212130269000101,1-18周(单) 星期二 第9-10节 南区信工学院N412,1-17周 星期二 第7-8节 致理楼L3-317,"苏恭超"
Internet网络互连技术,202020212130269000102,1-17周 星期一 第1-2节 致理楼L3-316,1-18周(单) 星期一 第3-4节 南区信工学院N412,"苏恭超"
商业模式（国际班）,202020212041190000101,1-17周 星期四 第6-8节 汇文楼H2-205,"程雨桥"
战略管理,202020212040832000101,1-17周 星期四 第7-8节 汇文楼H1-502,"柯年满"
战略管理,202020212040832000102,1-17周 星期四 第9-10节 汇文楼H1-205,"柯年满"
大学英语（2）,202020212520061000220,1-17周 星期一 第3-4节 汇紫楼A308,1-17周 星期三 第1-2节 汇紫楼A308,"陈晶"
大学英语（2）,202020212520061000221,1-17周 星期一 第3-4节 汇紫楼A309,1-17周 星期三 第1-2节 汇紫楼A309,"崔德智"
大学英语（2）,202020212520061000222,1-17周 星期一 第3-4节 汇紫楼A310,1-17周 星期三 第1-2节 汇紫楼A310,"方悦娴"
大学英语（2）,202020212520061000223,1-17周 星期一 第3-4节 汇紫楼B206,1-17周 星期三 第1-2节 汇紫楼B206,"李黎"
大学英语（2）,202020212520061000224,1-17周 星期一 第3-4节 汇紫楼B208,1-17周 星期三 第1-2节 汇紫楼B208,"李玲"
大学英语（2）,202020212520061000225,1-17周 星期一 第3-4节 汇紫楼B210,1-17周 星期三 第1-2节 汇紫楼B210,"林月"
大学英语（2）,202020212520061000226,1-17周 星期一 第3-4节 汇紫楼B308,1-17周 星期三 第1-2节 汇紫楼B308,"李聂海"
大学英语（2）,202020212520061000227,1-17周 星期一 第3-4节 汇紫楼B310,1-17周 星期三 第1-2节 汇紫楼B310,"梁鸣雁"
大学英语（2）,202020212520061000228,1-17周 星期一 3-4节 汇紫楼A211,1-17周 星期三 1-2节 汇紫楼A211,"柳宏"
大学英语（2）,202020212520061000229,1-17周 星期一 第3-4节 汇紫楼B408,1-17周 星期三 第1-2节 汇紫楼B408,"荣芳"
大学英语（2）,202020212520061000230,1-17周 星期一 第3-4节 汇紫楼B410,1-17周 星期三 第1-2节 汇紫楼B410,"张莉"
大学英语（2）,202020212520061000231,1-17周 星期一 第3-4节 汇紫楼B509,1-17周 星期三 第1-2节 汇紫楼B509,"罗玲"
大学英语（2）,202020212520061000232,1-17周 星期一 第3-4节 汇紫楼A212,1-17周 星期三 第1-2节 汇紫楼A212,"胡鹏"
大学英语（2）,202020212520061000233,1-17周 星期一 第3-4节 汇紫楼A307,1-17周 星期三 第1-2节 汇紫楼A307,"李丽"
大学英语（2）,202020212520061000234,1-17周 星期一 第3-4节 汇紫楼B507,1-17周 星期三 第1-2节 汇紫楼B507,"黄曼"
大学英语（2）,202020212520061000235,1-17周 星期一 第3-4节 汇紫楼B510,1-17周 星期三 第1-2节 汇紫楼B510,"张薇"
大学英语（2）,202020212520061000236,1-17周 星期一 第3-4节 汇紫楼C309,1-17周 星期三 第1-2节 汇紫楼C309,"杨敬清"
大学英语（2）,202020212520061000237,1-17周 星期一 第3-4节 汇紫楼C208,1-17周 星期三 第1-2节 汇紫楼C208,"唐立新"
大学英语（2）,202020212520061000238,1-17周 星期一 第3-4节 汇紫楼C307,1-17周 星期三 第1-2节 汇紫楼C307,"何勇"
大学英语（2）,202020212520061000239,1-17周 星期三 第1-2节 汇紫楼A208,1-17周 星期一 第3-4节 汇紫楼A208,"叶进"
大学英语（2）,202020212520061000240,1-17周 星期一 第1-2节 汇紫楼A308,1-17周 星期三 第3-4节 汇紫楼A308,"陈晶"
大学英语（2）,202020212520061000241,1-17周 星期一 第1-2节 汇紫楼A309,1-17周 星期三 第3-4节 汇紫楼A309,"崔德智"
大学英语（2）,202020212520061000242,1-17周 星期一 第1-2节 汇紫楼A310,1-17周 星期三 第3-4节 汇紫楼A310,"方悦娴"
大学英语（2）,202020212520061000243,1-17周 星期一 第1-2节 汇紫楼B206,1-17周 星期三 第3-4节 汇紫楼B206,"李黎"
大学英语（2）,202020212520061000244,1-17周 星期一 第1-2节 汇紫楼B208,1-17周 星期三 第3-4节 汇紫楼B208,"李玲"
大学英语（2）,202020212520061000245,1-17周 星期一 第1-2节 汇紫楼B210,1-17周 星期三 第3-4节 汇紫楼B210,"林月"
大学英语（2）,202020212520061000246,1-17周 星期一 第1-2节 汇紫楼B308,1-17周 星期三 第3-4节 汇紫楼B308,"李聂海"
大学英语（2）,202020212520061000247,1-17周 星期一 第1-2节 汇紫楼B310,1-17周 星期三 第3-4节 汇紫楼B310,"梁鸣雁"
大学英语（2）,202020212520061000248,1-17周 星期三 3-4节 汇紫楼A211,1-17周 星期一 1-2节 汇紫楼A211,"柳宏"
大学英语（2）,202020212520061000249,1-17周 星期一 第1-2节 汇紫楼B408,1-17周 星期三 第3-4节 汇紫楼B408,"荣芳"
